id,titol,any,convocatoria,serie,exercici,opcio,format,curriculum,bloc,subtemes,tipus,dificultat,punts_total,n_apartats,n_figures,paraules_clau,revisat
2013_ext_s1_P1_apollo-11-orbita-lluna,Mòdul Columbia de l'Apollo 11 en òrbita lunar,2013,extraordinaria,1,1,,antic,actual,Camps gravitatoris,òrbites circulars i satèl·lits; camp gravitatori i superposició; velocitat d'escapament,càlcul,2,2,2,1,Apollo 11; mòdul Columbia; Lluna; massa de la Lluna; òrbita circular; període orbital; gravetat superficial; velocitat d'escapament,False
2013_ext_s1_P2_electrons-camp-magnetic-trajectories,Dos electrons que entren en sentits contraris en un camp magnètic,2013,extraordinaria,1,2,,antic,actual,Camps electromagnètics,moviment de càrregues en camps magnètics,qualitativa; diagrama,2,2,2,3,electrons; força de Lorentz; camp magnètic; trajectòria circular; sentit de gir; camp paral·lel a la velocitat,False
2013_ext_s1_P3A_electroforesi-camp-electric,Camp elèctric uniforme en un aparell d'electroforesi,2013,extraordinaria,1,3,A,antic,actual,Camps electromagnètics,línies de camp i superfícies equipotencials; potencial i energia potencial elèctrica; moviment de càrregues en camps elèctrics,diagrama; càlcul; qualitativa,2,2,2,2,electroforesi; camp elèctric uniforme; elèctrodes; superfícies equipotencials; diferència de potencial; timina; força de fricció; moviment rectilini uniforme,False
2013_ext_s1_P3B_iode-131-gammagrafia,Iode 131 com a radiofàrmac per a gammagrafies,2013,extraordinaria,1,3,B,antic,actual,"Física relativista, quàntica i nuclear",radioactivitat i llei de desintegració; aplicacions i riscos de la radioactivitat,càlcul; qualitativa,1,2,2,1,iode 131; radiofàrmac; gammagrafia; període de semidesintegració; llei de desintegració radioactiva; desintegració beta; xenó 131,False
2013_ext_s1_P4A_molla-mhs-grafica-energia,Oscil·lador de molla a partir de la gràfica elongació-temps,2013,extraordinaria,1,4,A,antic,actual,Vibracions i ones,moviment harmònic simple; energia del MHS,gràfic; càlcul,2,2,2,2,molla; gràfica elongació-temps; amplitud; freqüència angular; període; fase inicial; equació del moviment; energia mecànica; constant elàstica,False
2013_ext_s1_P4B_clarinet-tub-harmonic-decibels,Ones estacionàries en un clarinet i nivell d'intensitat sonora,2013,extraordinaria,1,4,B,antic,actual,Vibracions i ones,ressonància i harmònics en tubs i cordes; ones estacionàries; ones sonores i nivell d'intensitat,càlcul; gràfic,2,2,2,1,clarinet; tub obert per un extrem; ones estacionàries; harmònics; longitud d'ona; nivell d'intensitat sonora; decibels; duplicar la intensitat,False
2013_ext_s1_P5A_fotoelectric-potassi-potencial-frenada,Efecte fotoelèctric amb un elèctrode de potassi i un material desconegut,2013,extraordinaria,1,5,A,antic,actual,"Física relativista, quàntica i nuclear",efecte fotoelèctric; fotons i energia de la radiació,càlcul,2,2,2,1,efecte fotoelèctric; potassi; treball d'extracció; potencial de frenada; tub de buit; llum violada; velocitat dels electrons; identificació d'un element,False
2013_ext_s1_P5B_quatre-carregues-quadrat-energia,Quatre càrregues iguals als vèrtexs d'un quadrat,2013,extraordinaria,1,5,B,antic,actual,Camps electromagnètics,potencial i energia potencial elèctrica; camp elèctric i llei de Coulomb; equilibri de càrregues en camps elèctrics,càlcul; diagrama,3,2,2,1,quatre càrregues; quadrat; energia de formació; energia potencial electrostàtica; llei de Coulomb; superposició de forces; equilibri; càrrega al centre,False
2013_ord_s3_P1_galileu-satellits-orbita-circular,Satèl·lits del sistema de navegació Galileu en òrbita circular,2013,ordinaria,3,1,,antic,actual,Camps gravitatoris,òrbites circulars i satèl·lits; lleis de Kepler,càlcul,2,2,2,1,Galileu; sistema de navegació; satèl·lit; òrbita circular; període orbital; velocitat orbital; tercera llei de Kepler,False
2013_ord_s3_P2_cambra-acceleradora-electrons,Cambra acceleradora d'electrons,2013,ordinaria,3,2,,antic,actual,Camps electromagnètics,moviment de càrregues en camps elèctrics; potencial i energia potencial elèctrica,càlcul; qualitativa,2,2,2,1,cambra acceleradora; electró; MRUA; camp elèctric uniforme; diferència de potencial; energia; electronvolt,False
